1045036517|"Hallmark 1985 Kitty Mischief Ornament"|$7.99
1045041605|"NE Vill. BLUE STAR ICE CO. ret Estate Piece"|$25.00
1045048091|"Armani DISNEY MICKEY SORCERER 30%off NiB NR"|$459.00
1045048202|"Armani DISNEY GOOFY! New in Box! 30%off NR"|$245.00
1045080370|"Large Rare Antique Stoneware Jug SHABBY CHIC"|$29.95
1045080937|""ONE TEAR AT A TIME" Video - Brand New!!"|$24.95
1045090378|"HARMONY KINGDOM: Y2HK MILLENNIUM#TJSEY2K-RTD."|$128.50
1045100798|"Precious Moments Caring 1994 Members Only"|$19.00
1045102327|"MCCOY DAISY COW-- FREE S/H/I"|$79.99
1045104966|"1988 1989 Hallmark Polar Bowler AWESOME"|$12.00
1045107350|"Firefighter Helmet USA Flag Sticker"|$15.00
1045110355|"Precious Moments Sugar Town Train Station Lit"|$19.95
1045111305|"D-56 DEPT 56 GREAT EXPECTATIONS 'SATIS MANOR'"|$55.99
1045114383|"Franklin Mint 1988 Carousel Elephant"|$18.99
1045122521|"CITY - THE DOCTORS OFFICE - 1991- RET. 1994"|$5.00
1045125403|""OVERNIGHT DELIVERY" GOLD* Snowbabies*Dept 56"|$7.02
1045125754|"Friendship Tree 91 Comboship1213 QLX7169"|$10.00
1045128766|"Department 56 Village Accessories Signs!"|$9.95
1045130515|"PM Wedding Bible Holder "To Have And To hold""|$9.95
1045138555|"CHARMING TAILS - BINKEY'S SAND ANGEL- MIB"|$10.99
1045139541|"BING & GRONDAHL CHRISTMAS IN AMERICA PLATE 91"|$5.00
1045143944|"1982 P.M.- LOVE ONE ANOTHER - HOURGLASS MARK"|$17.50
1045147623|"NATIONAL FIREWORKS LOT BOSTON MA. 1933"|$9.99
1045154238|"Cameo Incoley The Isle of Circes"|$9.99
1045157743|"(7) Old Antique Golf Clubs @@NO RESERVE@@"|$122.50
1045164703|"D56 SV Village Town Hall NEW SRP=$96"|$71.99
1045165699|"Avon Angel Porcelain Thimble 1999"|$2.00
1045170563|"Avon-Angel Song/Mandolin w/Unforgettable"|$4.75
1045175503|"Enesco Wizard of Oz The Cowardly Lion NEW"|$8.00
1045178271|"R2D2 Pepsi Cooler"|$75.00
1045180169|"Lilyette Mini Lacy Bra Slip 36-37C"|$8.00
1045180870|"VERY NICE BRASS MATCH HOLDER BUCKET"|$1.00
1045181453|"50 Sterling STATE INGOTS Franklin Mint NO RES"|$245.00
1045186593|"Avon's Cape Cod Collection Vase brand new"|$12.00
1045188109|"Bessie Pease Gutmann FIRST STEP figurine"|$9.00
1045188547|"Dept.56 Santa's Workshop-Brand New!!!"|$152.50
1045195481|"Shall I Play For You"|$5.00
1045196855|"Harmony Kingdom ~ JINGLE BELL ROCK ~ Ed. 1"|$9.95
1045212403|"F.A.K.K. 2 JULIE STRAIN Action Figure Excl."|$9.99
1045218059|"IRON-ON FUSIBLE PELLON INTERFACING! WHOLESALE"|$1.99
1045218598|"Mary Engelbreit Queen Sign"|$10.49
1045221605|"ANRI Ferrandiz rare matched set BAKER COUPLE"|$325.00
1045224300|"STOLICHNAYA RUSSIAN VODKA SHOT GLASS"|$2.99
1045231642|"YOUTH Detroit Red Wings Leather Jacket 10/12"|$40.00
1045233300|"NASCAR HALLMARK RICHARD PETTY STOCK CAR CHAMP"|$9.99
1045233442|"Carved Wood German Bottle Cork Wine Stopper"|$12.00
1045234402|"Collecting Software for Platinum Age Comics"|$12.50
1045234819|"4 Kennedy & Mc Carthy Bumber Stickers !"|$1.99
1045234876|"DREAMSICLES ANGEL with POINSETTIA BASKET"|$5.00
1045237036|"SNOWBUNNIES I'VE GOT A SUPRISE"|$12.99
1045238762|"French Shabby Chic metal shelf shelves tassle"|$1.00
1045240995|"Precious Moments Calendar Girl "December""|$19.99
